type_equipement,age,duree_vie_prevue,etat,derniere_maintenance,frequence_maintenance,nb_pannes,temps_fonctionnement_total,temps_moyen_reparation,temps_arret_panne,class_equipement
Tracteur,8,11,besoin de maintenance,2024-03-09 17:50:08.839022,1,26,29680,3,32,B
Moissonneuse,6,15,bon état,2024-04-16 17:50:08.839026,65,20,22260,12,13,B
Tracteur,4,15,besoin de maintenance,2024-03-11 17:50:08.839029,13,8,14840,7,48,B
Charrue,4,12,besoin de réparation,2024-04-08 17:50:08.839033,17,10,14840,3,12,B
Tracteur,9,11,bon état,2024-04-25 17:50:08.839037,69,22,33390,18,25,C
Tondeuse agricole,9,16,besoin de maintenance,2024-03-29 17:50:08.839041,37,36,33390,2,17,B
Remorque agricole,12,15,besoin de maintenance,2024-03-22 17:50:08.839045,52,39,44520,7,35,C
Charrue,11,12,besoin de réparation,2024-02-09 17:50:08.839048,79,44,40810,15,2,C
Remorque agricole,4,16,bon état,2024-04-24 17:50:08.839052,57,8,14840,12,9,A
Charrue,7,11,besoin de maintenance,2024-03-12 17:50:08.839056,58,26,25970,17,43,B
Tondeuse agricole,11,14,besoin de réparation,2024-02-21 17:50:08.839060,65,44,40810,3,10,C
Tracteur,6,13,besoin de réparation,2024-04-10 17:50:08.839064,38,20,22260,14,16,B
Tondeuse agricole,5,13,besoin de réparation,2024-04-09 17:50:08.839068,14,12,18550,18,7,B
Remorque agricole,13,10,besoin de réparation,2024-02-12 17:50:08.839072,87,37,48230,4,37,C
Charrue,4,10,bon état,2024-04-23 17:50:08.839076,44,13,14840,14,15,B
Tondeuse agricole,6,15,besoin de maintenance,2024-03-17 17:50:08.839080,74,20,22260,15,22,B
Tondeuse agricole,3,15,bon état,2024-04-17 17:50:08.839084,7,6,11130,15,42,A
Semoir,4,13,besoin de réparation,2024-04-11 17:50:08.839088,41,13,14840,18,16,B
Remorque agricole,6,14,besoin de réparation,2024-04-06 17:50:08.839092,89,15,22260,2,40,B
Tondeuse agricole,4,14,besoin de maintenance,2024-03-13 17:50:08.839096,70,8,14840,10,36,B
Semoir,13,11,bon état,2024-04-15 17:50:08.839099,64,32,48230,5,10,C
Semoir,12,10,besoin de réparation,2024-02-01 17:50:08.839103,35,29,44520,16,6,C
Tondeuse agricole,12,15,besoin de réparation,2024-02-06 17:50:08.839107,50,29,44520,4,29,C
Semoir,8,15,besoin de réparation,2024-02-08 17:50:08.839111,58,16,29680,10,29,B
Remorque agricole,3,10,besoin de réparation,2024-04-15 17:50:08.839115,16,9,11130,5,16,B
Moissonneuse,8,13,bon état,2024-04-27 17:50:08.839119,65,16,29680,18,30,B
Tracteur,11,11,besoin de maintenance,2024-03-26 17:50:08.839122,27,40,40810,3,4,C
Tracteur,4,16,besoin de réparation,2024-04-14 17:50:08.839126,75,15,14840,12,26,B
Charrue,5,11,besoin de maintenance,2024-03-11 17:50:08.839130,28,14,18550,11,11,B
Remorque agricole,5,16,bon état,2024-04-27 17:50:08.839134,81,10,18550,10,15,B
Remorque agricole,6,12,besoin de réparation,2024-04-14 17:50:08.839157,2,20,22260,18,11,B
Remorque agricole,6,10,bon état,2024-04-26 17:50:08.839162,63,20,22260,15,28,B
Tondeuse agricole,8,11,besoin de maintenance,2024-03-30 17:50:08.839167,72,23,29680,11,22,B
Remorque agricole,9,13,besoin de maintenance,2024-03-24 17:50:08.839171,49,36,33390,5,20,B
Semoir,13,12,besoin de réparation,2024-02-07 17:50:08.839175,77,47,48230,14,23,C
Remorque agricole,3,12,besoin de maintenance,2024-03-19 17:50:08.839180,45,6,11130,2,14,B
Moissonneuse,11,16,besoin de réparation,2024-02-22 17:50:08.839184,15,27,40810,7,23,B
Semoir,7,10,bon état,2024-04-24 17:50:08.839190,8,28,25970,11,36,B
Moissonneuse,3,14,besoin de réparation,2024-04-04 17:50:08.839194,1,10,11130,6,29,B
Semoir,13,10,besoin de réparation,2024-03-01 17:50:08.839197,43,26,48230,2,37,C
Remorque agricole,9,10,bon état,2024-04-25 17:50:08.839201,49,22,33390,17,48,C
Tracteur,11,12,besoin de maintenance,2024-03-06 17:50:08.839205,10,36,40810,9,36,C
Charrue,12,13,besoin de réparation,2024-02-29 17:50:08.839209,33,24,44520,18,15,C
Charrue,3,10,besoin de maintenance,2024-03-06 17:50:08.839213,26,11,11130,18,38,B
Remorque agricole,3,15,besoin de maintenance,2024-03-03 17:50:08.839217,23,11,11130,2,30,B
Tracteur,9,12,besoin de réparation,2024-01-31 17:50:08.839221,31,18,33390,12,12,C
Moissonneuse,5,16,besoin de maintenance,2024-03-06 17:50:08.839225,10,20,18550,15,47,B
Tracteur,3,16,besoin de maintenance,2024-03-13 17:50:08.839229,83,9,11130,7,14,B
Remorque agricole,13,14,besoin de réparation,2024-02-12 17:50:08.839232,12,52,48230,14,39,C
Remorque agricole,13,14,besoin de maintenance,2024-03-13 17:50:08.839236,22,26,48230,11,40,C
Remorque agricole,8,12,bon état,2024-04-16 17:50:08.839240,9,29,29680,17,18,B
Charrue,9,16,bon état,2024-04-15 17:50:08.839244,15,36,33390,13,20,B
Semoir,8,14,bon état,2024-04-18 17:50:08.839249,73,29,29680,17,34,B
Tondeuse agricole,9,15,bon état,2024-04-26 17:50:08.839253,32,26,33390,11,41,B
Charrue,8,10,bon état,2024-04-16 17:50:08.839257,26,16,29680,9,28,C
Tracteur,11,13,bon état,2024-04-22 17:50:08.839261,84,44,40810,11,37,C
Tondeuse agricole,13,11,bon état,2024-04-21 17:50:08.839265,17,32,48230,4,33,C
Tracteur,9,15,besoin de réparation,2024-02-26 17:50:08.839269,67,22,33390,5,31,B
Tracteur,10,15,besoin de réparation,2024-02-14 17:50:08.839273,23,28,37100,13,39,B
Remorque agricole,9,15,besoin de maintenance,2024-03-26 17:50:08.839276,57,36,33390,11,48,B
Charrue,12,15,besoin de réparation,2024-02-10 17:50:08.839280,47,48,44520,5,36,C
Charrue,13,11,bon état,2024-04-18 17:50:08.839284,29,32,48230,13,22,C
Remorque agricole,13,16,besoin de maintenance,2024-03-27 17:50:08.839288,56,32,48230,6,24,C
Tracteur,5,11,besoin de maintenance,2024-03-11 17:50:08.839292,71,10,18550,15,24,B
Tracteur,12,10,besoin de maintenance,2024-03-01 17:50:08.839297,27,48,44520,5,20,C
Remorque agricole,12,15,besoin de maintenance,2024-03-01 17:50:08.839301,34,48,44520,4,3,C
Tracteur,10,10,besoin de réparation,2024-02-26 17:50:08.839304,25,40,37100,4,15,C
Tondeuse agricole,9,15,besoin de réparation,2024-02-13 17:50:08.839308,78,36,33390,5,16,B
Semoir,13,16,besoin de réparation,2024-02-10 17:50:08.839312,84,26,48230,11,11,C
Semoir,5,11,bon état,2024-04-28 17:50:08.839316,65,12,18550,2,28,B
Charrue,12,10,bon état,2024-04-19 17:50:08.839320,65,39,44520,8,24,C
Moissonneuse,12,16,besoin de réparation,2024-02-11 17:50:08.839324,16,29,44520,3,38,C
Charrue,7,12,besoin de maintenance,2024-03-29 17:50:08.839328,84,28,25970,7,22,B
Tracteur,5,12,besoin de maintenance,2024-03-29 17:50:08.839332,74,10,18550,10,37,B
Remorque agricole,6,16,bon état,2024-04-16 17:50:08.839336,85,12,22260,3,38,B
Remorque agricole,5,14,bon état,2024-04-22 17:50:08.839340,15,20,18550,17,32,B
Tracteur,10,12,besoin de réparation,2024-02-17 17:50:08.839343,83,40,37100,8,2,C
Tondeuse agricole,8,13,bon état,2024-04-17 17:50:08.839349,42,23,29680,5,22,B
Tondeuse agricole,10,14,besoin de réparation,2024-02-15 17:50:08.839353,22,24,37100,5,31,B
Moissonneuse,4,11,besoin de réparation,2024-04-15 17:50:08.839357,2,15,14840,11,43,B
Remorque agricole,8,16,bon état,2024-04-29 17:50:08.839361,8,32,29680,14,22,B
Semoir,4,15,besoin de maintenance,2024-03-20 17:50:08.839365,16,8,14840,13,33,B
Tondeuse agricole,11,13,bon état,2024-04-21 17:50:08.839369,74,22,40810,8,45,C
Remorque agricole,12,10,besoin de maintenance,2024-03-29 17:50:08.839373,78,24,44520,8,32,C
Tondeuse agricole,8,10,bon état,2024-04-20 17:50:08.839377,85,32,29680,16,4,C
Semoir,9,15,bon état,2024-04-25 17:50:08.839381,5,18,33390,17,47,B
Moissonneuse,6,13,besoin de maintenance,2024-03-05 17:50:08.839385,46,15,22260,14,13,B
Semoir,4,14,bon état,2024-04-17 17:50:08.839389,60,13,14840,11,6,B
Charrue,5,16,bon état,2024-04-18 17:50:08.839393,16,18,18550,18,47,B
Tracteur,3,14,besoin de maintenance,2024-03-09 17:50:08.839397,48,6,11130,14,4,B
Moissonneuse,10,10,bon état,2024-04-18 17:50:08.839400,10,32,37100,10,15,C
Moissonneuse,9,14,bon état,2024-04-25 17:50:08.839404,28,18,33390,18,39,B
Semoir,3,16,besoin de maintenance,2024-03-26 17:50:08.839408,39,9,11130,13,45,B
Moissonneuse,9,15,besoin de réparation,2024-02-09 17:50:08.839412,84,36,33390,4,10,B
Semoir,11,15,besoin de maintenance,2024-03-15 17:50:08.839415,51,44,40810,17,38,B
Moissonneuse,4,16,bon état,2024-04-24 17:50:08.839420,67,12,14840,14,46,B
Moissonneuse,12,13,besoin de réparation,2024-02-20 17:50:08.839424,10,34,44520,17,36,C
Tondeuse agricole,3,15,bon état,2024-04-26 17:50:08.839428,17,12,11130,8,29,B
Moissonneuse,9,14,bon état,2024-04-25 17:50:08.839432,12,36,33390,14,26,B
Charrue,13,11,besoin de réparation,2024-02-16 17:50:08.839436,9,26,48230,17,18,C
Tracteur,13,12,besoin de réparation,2024-02-18 17:50:08.839440,84,42,48230,17,8,C
Tracteur,12,16,besoin de maintenance,2024-03-07 17:50:08.839443,45,29,44520,5,44,C
Remorque agricole,9,16,besoin de maintenance,2024-03-22 17:50:08.839447,40,29,33390,3,22,B
Semoir,7,12,besoin de réparation,2024-02-01 17:50:08.839451,36,26,25970,7,33,B
Tracteur,3,14,besoin de maintenance,2024-03-15 17:50:08.839455,70,8,11130,11,27,B
Semoir,9,12,bon état,2024-04-20 17:50:08.839459,33,18,33390,12,13,C
Moissonneuse,11,11,besoin de réparation,2024-02-23 17:50:08.839462,41,36,40810,8,30,C
Semoir,3,13,bon état,2024-04-22 17:50:08.839466,68,8,11130,11,24,A
Semoir,3,14,besoin de maintenance,2024-03-04 17:50:08.839470,64,11,11130,6,25,B
Moissonneuse,11,14,bon état,2024-04-25 17:50:08.839474,24,40,40810,2,9,C
Semoir,5,16,besoin de maintenance,2024-03-04 17:50:08.839478,22,16,18550,3,15,B
Semoir,11,16,bon état,2024-04-17 17:50:08.839482,36,22,40810,7,36,B
Semoir,10,16,bon état,2024-04-24 17:50:08.839485,11,32,37100,8,29,B
Charrue,3,14,besoin de réparation,2024-04-15 17:50:08.839489,53,6,11130,8,2,B
Tondeuse agricole,8,14,besoin de maintenance,2024-03-30 17:50:08.839494,16,23,29680,3,13,B
Charrue,8,14,besoin de réparation,2024-02-24 17:50:08.839497,74,20,29680,18,2,B
Tondeuse agricole,4,11,besoin de réparation,2024-04-02 17:50:08.839502,76,8,14840,9,47,B
Charrue,5,14,besoin de maintenance,2024-03-13 17:50:08.839507,76,16,18550,14,29,B
Tracteur,6,11,bon état,2024-04-26 17:50:08.839510,51,20,22260,6,38,B
Moissonneuse,3,10,besoin de maintenance,2024-03-01 17:50:08.839514,83,10,11130,15,43,B
Tracteur,3,12,besoin de réparation,2024-03-31 17:50:08.839518,72,6,11130,13,2,B
Remorque agricole,7,13,bon état,2024-04-20 17:50:08.839522,73,23,25970,5,10,B
Semoir,7,13,bon état,2024-04-29 17:50:08.839526,39,28,25970,10,22,B
Remorque agricole,3,15,bon état,2024-04-23 17:50:08.839529,1,12,11130,5,18,B
Moissonneuse,6,12,besoin de réparation,2024-04-12 17:50:08.839533,4,24,22260,10,26,B
Tondeuse agricole,4,15,besoin de réparation,2024-04-11 17:50:08.839537,39,8,14840,15,9,B
Moissonneuse,10,13,besoin de réparation,2024-02-01 17:50:08.839541,70,32,37100,15,4,C
Moissonneuse,7,12,besoin de maintenance,2024-03-25 17:50:08.839544,42,28,25970,11,17,B
Charrue,6,15,bon état,2024-04-17 17:50:08.839548,20,24,22260,3,34,B
Semoir,4,16,bon état,2024-04-20 17:50:08.839552,85,13,14840,14,37,B
Remorque agricole,3,13,bon état,2024-04-16 17:50:08.839556,22,11,11130,4,3,B
Charrue,10,16,besoin de réparation,2024-02-17 17:50:08.839560,7,36,37100,13,41,B
Remorque agricole,5,11,bon état,2024-04-19 17:50:08.839563,45,18,18550,8,14,B
Tracteur,7,10,besoin de maintenance,2024-03-03 17:50:08.839567,84,26,25970,14,18,B
Charrue,8,13,besoin de réparation,2024-02-24 17:50:08.839571,85,16,29680,11,36,B
Remorque agricole,13,13,besoin de maintenance,2024-03-31 17:50:08.839575,9,52,48230,8,44,C
Charrue,5,14,bon état,2024-04-27 17:50:08.839579,78,14,18550,6,3,B
Charrue,5,16,bon état,2024-04-19 17:50:08.839582,81,10,18550,6,14,B
Moissonneuse,6,14,bon état,2024-04-16 17:50:08.839586,1,17,22260,16,29,B
Charrue,7,15,besoin de réparation,2024-02-20 17:50:08.839590,54,23,25970,13,23,B
Semoir,13,14,besoin de maintenance,2024-03-04 17:50:08.839594,55,26,48230,9,25,C
Moissonneuse,5,15,besoin de réparation,2024-04-12 17:50:08.839598,58,20,18550,4,10,B
Charrue,12,12,besoin de maintenance,2024-03-20 17:50:08.839602,62,34,44520,17,44,C
Charrue,10,15,besoin de réparation,2024-02-06 17:50:08.839606,18,28,37100,13,10,B
Tracteur,13,12,besoin de maintenance,2024-03-16 17:50:08.839610,58,26,48230,8,28,C
Charrue,4,15,besoin de réparation,2024-04-04 17:50:08.839613,71,13,14840,15,35,B
Tracteur,7,11,besoin de réparation,2024-02-11 17:50:08.839617,26,23,25970,16,43,B
Moissonneuse,4,15,bon état,2024-04-17 17:50:08.839621,6,8,14840,7,21,A
Charrue,4,14,besoin de maintenance,2024-03-12 17:50:08.839625,35,12,14840,13,3,B
Tondeuse agricole,6,11,besoin de maintenance,2024-03-16 17:50:08.839628,1,20,22260,3,46,B
Tondeuse agricole,8,11,bon état,2024-04-26 17:50:08.839632,13,23,29680,7,47,B
Semoir,13,11,besoin de réparation,2024-02-02 17:50:08.839636,17,32,48230,4,36,C
Tondeuse agricole,3,10,besoin de maintenance,2024-03-05 17:50:08.839640,26,11,11130,8,17,B
Remorque agricole,11,13,besoin de maintenance,2024-03-11 17:50:08.839644,35,31,40810,2,48,C
Tracteur,6,13,besoin de maintenance,2024-03-09 17:50:08.839648,72,12,22260,14,25,B
Tracteur,10,14,besoin de maintenance,2024-03-03 17:50:08.839651,83,36,37100,4,47,B
Charrue,8,16,besoin de maintenance,2024-03-05 17:50:08.839655,49,20,29680,15,26,B
Remorque agricole,11,11,besoin de maintenance,2024-03-20 17:50:08.839660,36,27,40810,4,8,C
Tracteur,7,14,besoin de maintenance,2024-03-26 17:50:08.839664,70,26,25970,16,8,B
Charrue,11,14,besoin de maintenance,2024-03-20 17:50:08.839668,1,31,40810,3,23,C
Tracteur,5,15,besoin de maintenance,2024-03-16 17:50:08.839672,74,12,18550,16,40,B
Moissonneuse,9,16,besoin de réparation,2024-02-05 17:50:08.839676,10,26,33390,7,26,B
Tondeuse agricole,11,11,besoin de réparation,2024-02-14 17:50:08.839680,54,44,40810,17,35,C
Tondeuse agricole,9,15,bon état,2024-04-23 17:50:08.839683,90,26,33390,11,5,B
Tracteur,10,12,besoin de maintenance,2024-03-23 17:50:08.839687,25,20,37100,14,41,C
Tracteur,4,10,besoin de réparation,2024-04-11 17:50:08.839692,20,8,14840,11,22,B
Tondeuse agricole,7,12,bon état,2024-04-18 17:50:08.839696,70,14,25970,5,14,B
Semoir,3,10,bon état,2024-04-15 17:50:08.839700,33,9,11130,8,7,A
Charrue,11,15,besoin de maintenance,2024-03-04 17:50:08.839703,30,44,40810,5,46,B
Remorque agricole,12,10,besoin de maintenance,2024-03-26 17:50:08.839707,65,34,44520,3,27,C
Moissonneuse,7,11,besoin de maintenance,2024-03-29 17:50:08.839711,67,23,25970,15,39,B
Charrue,4,12,besoin de maintenance,2024-03-10 17:50:08.839715,75,16,14840,12,26,B
Remorque agricole,7,14,besoin de maintenance,2024-03-31 17:50:08.839719,65,23,25970,4,27,B
Moissonneuse,8,16,besoin de réparation,2024-03-01 17:50:08.839723,8,26,29680,4,44,B
Moissonneuse,3,16,besoin de réparation,2024-04-10 17:50:08.839726,57,11,11130,12,23,B
Semoir,13,12,besoin de réparation,2024-02-03 17:50:08.839730,25,42,48230,13,44,C
Semoir,10,12,besoin de maintenance,2024-03-02 17:50:08.839734,81,32,37100,10,43,C
Moissonneuse,8,10,besoin de maintenance,2024-03-29 17:50:08.839737,58,20,29680,11,26,C
Remorque agricole,6,12,bon état,2024-04-16 17:50:08.839741,54,20,22260,13,34,B
Remorque agricole,11,12,bon état,2024-04-25 17:50:08.839745,3,31,40810,14,38,C
Tracteur,8,16,besoin de réparation,2024-02-27 17:50:08.839749,41,26,29680,11,48,B
Tondeuse agricole,4,16,besoin de réparation,2024-04-03 17:50:08.839752,33,15,14840,5,43,B
Remorque agricole,5,15,besoin de maintenance,2024-03-06 17:50:08.839756,36,18,18550,17,41,B
Charrue,5,11,besoin de maintenance,2024-03-01 17:50:08.839760,11,12,18550,13,35,B
Tracteur,7,12,besoin de maintenance,2024-03-15 17:50:08.839764,75,20,25970,10,48,B
Tondeuse agricole,6,11,besoin de réparation,2024-04-14 17:50:08.839768,16,15,22260,2,19,B
Moissonneuse,9,15,bon état,2024-04-26 17:50:08.839773,62,29,33390,5,21,B
Charrue,13,12,besoin de réparation,2024-02-13 17:50:08.839777,75,37,48230,17,42,C
Tracteur,5,12,besoin de maintenance,2024-03-21 17:50:08.839781,44,16,18550,2,14,B
Charrue,11,12,besoin de réparation,2024-02-26 17:50:08.839784,83,44,40810,14,15,C
Tondeuse agricole,8,14,besoin de réparation,2024-02-23 17:50:08.839788,67,16,29680,6,3,B
Remorque agricole,8,12,besoin de maintenance,2024-03-07 17:50:08.839792,87,32,29680,10,3,B
Semoir,11,10,bon état,2024-04-29 17:50:08.839796,41,27,40810,15,41,C
Moissonneuse,13,15,besoin de réparation,2024-02-24 17:50:08.839800,70,26,48230,4,48,C
Semoir,6,11,besoin de réparation,2024-04-07 17:50:08.839803,65,20,22260,7,35,B
Semoir,7,15,besoin de maintenance,2024-03-18 17:50:08.839807,21,20,25970,7,20,B
Semoir,6,13,besoin de maintenance,2024-03-17 17:50:08.839811,28,22,22260,8,44,B
Remorque agricole,9,14,bon état,2024-04-24 17:50:08.839816,67,36,33390,6,36,B
Charrue,5,11,bon état,2024-04-24 17:50:08.839820,11,12,18550,14,38,B
Charrue,10,11,besoin de réparation,2024-02-12 17:50:08.839824,15,24,37100,9,35,C
Moissonneuse,12,12,bon état,2024-04-16 17:50:08.839827,65,34,44520,15,46,C
Tracteur,4,13,bon état,2024-04-26 17:50:08.839831,85,16,14840,2,40,B
Semoir,7,11,bon état,2024-04-22 17:50:08.839835,52,28,25970,5,14,B
Moissonneuse,9,10,besoin de maintenance,2024-03-03 17:50:08.839839,8,33,33390,13,20,C
Semoir,7,10,besoin de maintenance,2024-03-02 17:50:08.839843,25,26,25970,18,19,B
Tracteur,8,11,bon état,2024-04-29 17:50:08.839848,24,32,29680,2,24,B
Tondeuse agricole,10,10,bon état,2024-04-20 17:50:08.839852,11,32,37100,3,6,C
Tondeuse agricole,12,12,besoin de maintenance,2024-03-07 17:50:08.839856,14,48,44520,5,33,C
Semoir,3,10,besoin de maintenance,2024-03-23 17:50:08.839859,75,11,11130,16,35,B
Charrue,7,13,bon état,2024-04-18 17:50:08.839863,19,20,25970,10,31,B
Moissonneuse,5,15,bon état,2024-04-15 17:50:08.839867,38,20,18550,15,46,B
Moissonneuse,12,12,bon état,2024-04-22 17:50:08.839871,63,34,44520,3,28,C
Remorque agricole,10,11,besoin de réparation,2024-02-06 17:50:08.839875,47,40,37100,4,36,C
Tracteur,7,11,besoin de maintenance,2024-03-13 17:50:08.839878,87,20,25970,15,17,B
Tondeuse agricole,5,11,besoin de maintenance,2024-03-24 17:50:08.839882,49,18,18550,17,14,B
Tracteur,3,15,bon état,2024-04-22 17:50:08.839886,90,8,11130,16,25,A
Charrue,12,15,bon état,2024-04-18 17:50:08.839891,24,39,44520,13,45,C
Tracteur,13,12,besoin de maintenance,2024-03-17 17:50:08.839896,59,32,48230,11,3,C
Charrue,8,15,besoin de réparation,2024-02-11 17:50:08.839900,85,29,29680,11,2,B
Remorque agricole,9,13,besoin de réparation,2024-02-23 17:50:08.839904,13,18,33390,15,9,B
Remorque agricole,4,12,bon état,2024-04-28 17:50:08.839907,19,16,14840,9,48,B
Charrue,5,12,besoin de réparation,2024-04-04 17:50:08.839912,89,14,18550,13,17,B
Charrue,13,14,bon état,2024-04-20 17:50:08.839916,86,32,48230,11,25,C
Tracteur,6,13,bon état,2024-04-21 17:50:08.839920,65,12,22260,7,45,B
Tondeuse agricole,6,10,besoin de réparation,2024-04-06 17:50:08.839924,46,22,22260,9,48,B
Semoir,5,16,bon état,2024-04-28 17:50:08.839928,6,16,18550,10,43,B
Tracteur,6,10,bon état,2024-04-28 17:50:08.839932,57,17,22260,5,44,B
Charrue,10,10,besoin de réparation,2024-02-28 17:50:08.839935,51,24,37100,10,18,C
Semoir,3,16,bon état,2024-04-23 17:50:08.839939,58,9,11130,3,38,A
Moissonneuse,12,11,bon état,2024-04-18 17:50:08.839943,67,44,44520,17,31,C
Tracteur,7,10,bon état,2024-04-15 17:50:08.839946,72,17,25970,8,29,B
Charrue,4,13,besoin de maintenance,2024-03-29 17:50:08.839950,8,12,14840,10,22,B
Semoir,8,11,besoin de maintenance,2024-03-27 17:50:08.839954,65,29,29680,8,33,B
Tracteur,3,15,besoin de réparation,2024-04-03 17:50:08.839958,32,10,11130,12,23,B
Moissonneuse,3,11,besoin de maintenance,2024-03-26 17:50:08.839962,36,9,11130,6,33,B
Tondeuse agricole,11,14,bon état,2024-04-18 17:50:08.839966,1,31,40810,4,41,C
Moissonneuse,4,14,besoin de maintenance,2024-03-17 17:50:08.839969,3,15,14840,15,8,B
Semoir,5,10,bon état,2024-04-21 17:50:08.839974,47,14,18550,12,8,B
Tracteur,13,12,besoin de maintenance,2024-03-25 17:50:08.839978,35,32,48230,16,32,C
Charrue,13,12,besoin de réparation,2024-02-13 17:50:08.839982,48,47,48230,6,47,C
Moissonneuse,5,11,besoin de réparation,2024-04-03 17:50:08.839986,39,16,18550,7,47,B
Tondeuse agricole,11,12,bon état,2024-04-19 17:50:08.839990,73,36,40810,4,3,C
Tondeuse agricole,10,13,bon état,2024-04-17 17:50:08.839993,75,28,37100,11,30,C
Remorque agricole,3,14,besoin de maintenance,2024-03-10 17:50:08.839997,72,12,11130,10,43,B
Semoir,6,10,besoin de réparation,2024-04-10 17:50:08.840001,5,24,22260,5,14,B
Tracteur,8,16,besoin de maintenance,2024-03-10 17:50:08.840005,88,32,29680,14,27,B
Charrue,10,12,besoin de maintenance,2024-03-30 17:50:08.840009,85,20,37100,2,2,C
Semoir,12,16,besoin de maintenance,2024-03-26 17:50:08.840013,15,39,44520,11,18,C
Remorque agricole,6,12,bon état,2024-04-20 17:50:08.840016,63,17,22260,7,23,B
Moissonneuse,8,14,besoin de maintenance,2024-03-24 17:50:08.840020,51,29,29680,14,21,B
Charrue,12,11,besoin de réparation,2024-02-08 17:50:08.840024,60,24,44520,16,18,C
Semoir,4,13,besoin de maintenance,2024-03-11 17:50:08.840028,13,10,14840,13,26,B
Moissonneuse,5,16,besoin de réparation,2024-03-31 17:50:08.840032,37,12,18550,18,9,B
Semoir,7,13,besoin de réparation,2024-03-01 17:50:08.840036,37,26,25970,18,5,B
Tondeuse agricole,9,15,besoin de maintenance,2024-03-07 17:50:08.840039,90,33,33390,14,20,B
Remorque agricole,8,10,bon état,2024-04-20 17:50:08.840043,89,20,29680,14,25,C
Semoir,9,16,bon état,2024-04-22 17:50:08.840047,6,36,33390,10,15,B
Semoir,12,16,bon état,2024-04-16 17:50:08.840051,8,39,44520,7,39,C
Remorque agricole,9,16,besoin de maintenance,2024-03-02 17:50:08.840055,77,36,33390,13,30,B
Tracteur,5,12,besoin de maintenance,2024-03-10 17:50:08.840059,38,14,18550,12,34,B
Tracteur,13,16,besoin de réparation,2024-02-15 17:50:08.840062,56,52,48230,11,35,C
Charrue,7,10,bon état,2024-04-17 17:50:08.840066,89,23,25970,16,33,B
Remorque agricole,10,14,besoin de maintenance,2024-03-04 17:50:08.840070,84,28,37100,6,35,B
Moissonneuse,3,15,besoin de maintenance,2024-03-08 17:50:08.840074,14,12,11130,7,13,B
Tracteur,5,11,besoin de maintenance,2024-03-02 17:50:08.840077,22,16,18550,18,26,B
Tracteur,9,11,besoin de maintenance,2024-03-14 17:50:08.840081,62,22,33390,14,23,C
Remorque agricole,6,15,besoin de maintenance,2024-03-08 17:50:08.840085,75,24,22260,11,9,B
Tondeuse agricole,11,16,besoin de maintenance,2024-03-19 17:50:08.840090,77,22,40810,2,48,B
Tondeuse agricole,12,11,besoin de maintenance,2024-03-28 17:50:08.840093,44,29,44520,17,24,C
Remorque agricole,9,12,besoin de réparation,2024-02-14 17:50:08.840097,13,18,33390,12,38,C
Remorque agricole,4,10,bon état,2024-04-26 17:50:08.840101,20,16,14840,7,44,B
Tondeuse agricole,11,11,besoin de maintenance,2024-03-16 17:50:08.840105,45,44,40810,9,4,C
Remorque agricole,3,15,besoin de réparation,2024-04-10 17:50:08.840109,55,10,11130,13,13,B
Tracteur,4,15,besoin de maintenance,2024-03-24 17:50:08.840113,36,13,14840,17,5,B
Charrue,10,12,bon état,2024-04-15 17:50:08.840117,71,40,37100,13,16,C
Charrue,7,14,bon état,2024-04-15 17:50:08.840120,66,14,25970,2,2,B
Moissonneuse,9,11,besoin de réparation,2024-02-24 17:50:08.840124,38,26,33390,18,6,C
Semoir,12,14,bon état,2024-04-16 17:50:08.840130,63,39,44520,15,9,C
Semoir,8,13,besoin de maintenance,2024-03-08 17:50:08.840133,36,16,29680,17,35,B
Moissonneuse,6,15,besoin de maintenance,2024-03-13 17:50:08.840137,65,20,22260,16,22,B
Charrue,10,15,besoin de maintenance,2024-03-07 17:50:08.840141,72,28,37100,8,18,B
Remorque agricole,7,10,besoin de réparation,2024-02-02 17:50:08.840144,1,20,25970,18,43,B
Remorque agricole,3,15,besoin de réparation,2024-04-07 17:50:08.840149,62,6,11130,2,33,B
Remorque agricole,3,16,bon état,2024-04-20 17:50:08.840153,12,9,11130,18,27,A
Moissonneuse,3,16,besoin de maintenance,2024-03-19 17:50:08.840156,4,6,11130,4,12,B
Semoir,4,10,besoin de réparation,2024-04-08 17:50:08.840160,82,16,14840,18,13,B
Tondeuse agricole,8,12,besoin de maintenance,2024-03-08 17:50:08.840164,48,26,29680,9,19,B
Tondeuse agricole,11,15,besoin de maintenance,2024-03-20 17:50:08.840168,51,31,40810,6,37,B
Remorque agricole,5,15,besoin de maintenance,2024-03-23 17:50:08.840171,68,12,18550,12,47,B
Charrue,8,12,besoin de maintenance,2024-03-06 17:50:08.840175,63,26,29680,9,30,B
Moissonneuse,9,16,besoin de maintenance,2024-03-22 17:50:08.840179,21,36,33390,7,41,B
Remorque agricole,5,16,bon état,2024-04-17 17:50:08.840183,66,16,18550,17,19,B
Charrue,9,13,bon état,2024-04-28 17:50:08.840187,30,22,33390,16,30,B
Charrue,11,10,besoin de réparation,2024-02-02 17:50:08.840190,1,40,40810,15,33,C
Charrue,9,13,besoin de maintenance,2024-03-28 17:50:08.840194,50,36,33390,11,8,B
Tracteur,12,15,besoin de maintenance,2024-03-26 17:50:08.840198,30,24,44520,14,27,C
